id,type,uid,content,add_time,ups
6700299576212914758,0,1779801896,大凡凡,17430,0
6700147633154811925,0,579119129,宋茜我来啦,17000,0
6699818977962057960,0,3567576740,嗷嗷嗷,17034,1
6700071573578903206,0,4030183735,来了,17988,0
6699924574028044895,0,2368619520,吴亦凡,17092,0
6699821636546819384,0,2252845947,吴亦凡我来啦!,17242,0
6699872244146505145,0,3425811544,大脸宽面,18000,1
6700364816766168418,0,1677833378,凡凡 啊啊啊啊终于等到你,18000,0
6699823255749492617,0,448223142,吴亦凡我来了,18000,1
6700096664777867885,0,4104587688,来了,18854,0
6699982809489633315,0,266922413,来啦来啦，木木我爱你,18155,0
6699838043321911061,0,1522595674,啊凡,18000,0
6700335074117626099,0,3830399082,我来啦凡凡,19000,0
6699910778593088846,0,3928345323,凡凡，我来了,19809,2
6700179600596428016,0,3952690912,妹妹,19981,0
6700051241203701345,0,2203561534,我瞅瞅,19690,0
6699955046821017004,0,2915498970,宋茜我来了,19000,0
6699859857460820638,0,4293835753,大凡凡，我来看你了,19540,0
6699822632979233694,0,1507344750,凡凡我来了,20000,1
6699821331604140863,0,2473902210,"阿凡
我来啦",20759,1
6700121000062587067,0,2805912831,吴亦凡,20661,0
6700027885171494598,0,2855055527,吴亦凡我来了,20273,0
6699929513240435945,0,3796993554,为啥四十多分钟,20000,0
6699836832141132307,0,3634410947,来了,20353,0
6700029323985543527,0,3398105465,凡凡，妈妈来了,21138,1
6699930466723175771,0,2928269679,来了,21196,0
6699829638070903181,0,1766040632,凡凡,21854,1
6699850739245247533,0,793527141,看完正式版再来看这个,21039,0
6699822057453615097,0,312766383,凡哥,21000,0
6699820764668456724,0,1552392757,凡凡我来了,21947,0
6699840933834904042,0,3225823167,宋茜我来啦,22000,2
6699842673296660425,0,4116989080,宋茜宋茜,22381,1
6700384049629736979,0,42057082,来了,22785,0
6700119118866909872,0,3319504136,小🐑超级可爱啊,22000,0
6699943020912584487,0,1252240865,我的炅,22103,0
6699836673227342192,0,1713160194,我来了,22921,0
6699832086202264755,0,1148467512,为凡凡,23698,1
